学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
长春师范大学,普通本科,--,--,550.00,94794,490,平行录取二段
保定学院,普通本科,--,--,--,--,--,--
黑河学院,普通本科,--,--,--,--,--,--
太原师范学院,普通本科,576.00,564.00,552.00,92541,490,平行录取二段
怀化学院,普通本科,--,--,550.00,94794,490,平行录取二段
韶关学院,普通本科,579.00,576.20,559.00,85053,490,平行录取二段
湖南人文科技学院,普通本科,--,--,549.00,95883,490,平行录取二段
赣南师范大学,普通本科,--,--,590.00,51042,588,平行录取一段
赣南师范大学,普通本科,--,--,560.00,83957,490,平行录取二段
香港城市大学,普通本科,--,--,--,--,--,--
宁夏师范学院,普通本科,--,--,--,--,--,--
百色学院,普通本科,--,--,--,--,--,--
信阳师范学院,普通本科,553.00,--,552.00,92541,490,平行录取二段
许昌学院,普通本科,564.00,--,547.00,98072,588,平行录取一段
许昌学院,普通本科,--,--,547.00,98072,490,平行录取二段
渭南师范学院,普通本科,559.00,550.00,541.00,104530,490,平行录取二段
廊坊师范学院,普通本科,572.00,--,550.00,94794,490,平行录取二段
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
宁波大学,普通本科,--,--,595.00,45903,588,平行录取一段
石家庄学院,普通本科,--,--,--,--,--,--
河西学院,普通本科,--,--,--,--,--,--
杭州师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
杭州师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
台州学院,普通本科,--,--,588.00,53141,588,平行录取一段
台州学院,普通本科,--,--,555.00,89385,490,平行录取二段
