学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
安庆师范大学,普通本科,--,--,559.00,85053,490,平行录取二段
贵州师范大学,普通本科,--,--,--,--,--,--
湖北理工学院,普通本科,565.00,558.27,555.00,89385,490,平行录取二段
兴义民族师范学院,普通本科,--,--,--,--,--,--
内蒙古师范大学,普通本科,--,--,--,--,--,--
黔南民族师范学院,普通本科,558.00,556.50,555.00,89385,490,平行录取二段
河池学院,普通本科,--,--,--,--,--,--
遵义师范学院,普通本科,--,--,--,--,--,--
伊犁师范大学,普通本科,--,--,--,--,--,--
重庆文理学院,普通本科,575.00,--,557.00,87261,490,平行录取二段
集宁师范学院,普通本科,--,--,--,--,--,--
海南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
海南师范大学,普通本科,595.00,580.00,570.00,72877,490,平行录取二段
赤峰学院,普通本科,--,--,--,--,--,--
广西师范大学,普通本科,592.00,575.00,563.00,80624,588,平行录取一段
广西师范大学,普通本科,--,--,563.00,80624,490,平行录取二段
广西师范大学,普通本科,--,--,563.00,80624,344,平行录取三段
西安文理学院,普通本科,--,--,553.00,91440,490,平行录取二段
昆明学院,普通本科,--,--,--,--,--,--
泰州学院,普通本科,--,--,--,--,--,--
延安大学西安创新学院,独立学院,--,--,--,--,--,--
黑河学院,普通本科,--,--,--,--,--,--
徐州工程学院,普通本科,571.00,--,557.00,87261,490,平行录取二段
玉林师范学院,普通本科,--,--,546.00,99147,490,平行录取二段
南宁师范大学,普通本科,--,--,549.00,95883,490,平行录取二段
宁夏大学,普通本科,--,--,588.00,53141,588,平行录取一段
哈尔滨师范大学,普通本科,594.00,587.00,583.00,58692,588,平行录取一段
哈尔滨师范大学,普通本科,--,--,583.00,58692,490,平行录取二段
泰山学院,普通本科,556.00,--,553.00,91440,490,平行录取二段
潍坊学院,普通本科,575.00,--,551.00,93653,490,平行录取二段
香港教育大学,普通本科,--,--,--,--,--,--
鲁东大学,普通本科,586.00,--,556.00,88305,490,平行录取二段
济宁学院,普通本科,--,--,--,--,--,--
贵阳学院,普通本科,--,--,--,--,--,--
北京城市学院,普通本科,--,--,536.00,109773,490,平行录取二段
齐鲁师范学院,普通本科,--,--,--,--,--,--
中国矿业大学银川学院,独立学院,--,--,--,--,--,--
内蒙古科技大学包头师范学院,普通本科,--,547.00,--,0,490,平行录取二段
绵阳师范学院,普通本科,575.00,566.50,560.00,83957,490,平行录取二段
内江师范学院,普通本科,562.00,--,550.00,94794,490,平行录取二段
宜宾学院,普通本科,564.00,557.21,552.00,92541,490,平行录取二段
乐山师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
六盘水师范学院,普通本科,--,--,--,--,--,--
北京联合大学,普通本科,--,--,588.00,53141,588,平行录取一段
北京联合大学,普通本科,--,--,577.00,65245,490,平行录取二段
德州学院,普通本科,--,--,553.00,91440,490,平行录取二段
曲靖师范学院,普通本科,--,--,548.00,96962,490,平行录取二段
天水师范学院,普通本科,558.00,552.00,545.00,100206,490,平行录取二段
首都师范大学,普通本科,--,--,620.00,23678,588,平行录取一段
江苏第二师范学院,普通本科,--,--,--,--,--,--
天津师范大学,普通本科,618.00,--,590.00,51042,588,平行录取一段
天津师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
浙江外国语学院,普通本科,--,--,588.00,53141,588,平行录取一段
浙江外国语学院,普通本科,--,--,501.00,146165,490,平行录取二段
河北师范大学,普通本科,604.00,--,588.00,53141,588,平行录取一段
河北师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
江南大学,普通本科,646.00,634.00,627.00,18652,588,平行录取一段
兴安职业技术学院,专科（高职）,--,--,--,--,--,--
邢台学院,普通本科,--,--,550.00,94794,490,平行录取二段
华南师范大学,普通本科,--,--,628.00,17973,588,平行录取一段
郑州财经学院,普通本科,--,--,--,--,--,--
昭通学院,普通本科,--,--,--,--,--,--
山东师范大学,普通本科,618.00,596.00,588.00,53141,588,平行录取一段
山东师范大学,普通本科,--,--,582.00,59826,490,平行录取二段
普洱学院,普通本科,--,--,--,--,--,--
唐山师范学院,普通本科,--,--,--,--,--,--
廊坊师范学院,普通本科,572.00,--,550.00,94794,490,平行录取二段
衡水学院,普通本科,--,--,548.00,96962,490,平行录取二段
石家庄学院,普通本科,--,--,--,--,--,--
南京师范大学,普通本科,--,--,635.00,13683,588,平行录取一段
南京特殊教育师范学院,普通本科,--,--,558.00,86164,490,平行录取二段
滇西科技师范学院,普通本科,--,--,--,--,--,--
郑州师范学院,普通本科,--,--,--,--,--,--
延边大学,普通本科,627.00,--,603.00,38124,588,平行录取一段
云南经济管理学院,普通本科,512.00,504.50,499.00,148205,490,平行录取二段
云南经济管理学院,普通本科,--,--,370.00,228181,344,平行录取三段
商丘工学院,普通本科,--,--,494.00,153097,490,平行录取二段
保定学院,普通本科,--,--,--,--,--,--
沧州师范学院,普通本科,--,--,--,--,--,--
东北师范大学,普通本科,647.00,--,589.00,52072,588,平行录取一段
宿迁学院,普通本科,--,--,--,--,--,--
南京晓庄学院,普通本科,--,--,588.00,53141,588,平行录取一段
南京晓庄学院,普通本科,--,--,562.00,81741,490,平行录取二段
常州工学院,普通本科,--,--,--,--,--,--
江苏理工学院,普通本科,--,--,588.00,53141,588,平行录取一段
江苏理工学院,普通本科,--,--,557.00,87261,490,平行录取二段
盐城师范学院,普通本科,571.00,--,568.00,75133,490,平行录取二段
常熟理工学院,普通本科,601.00,--,556.00,88305,490,平行录取二段
西安翻译学院,普通本科,--,--,490.00,156885,490,平行录取二段
西安翻译学院,普通本科,--,--,410.00,213525,344,平行录取三段
江苏师范大学,普通本科,618.00,--,565.00,78326,588,平行录取一段
江苏师范大学,普通本科,579.00,--,568.00,75133,490,平行录取二段
扬州大学,普通本科,616.00,--,595.00,45903,588,平行录取一段
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段
上饶师范学院,普通本科,596.00,--,560.00,83957,490,平行录取二段
滨州学院,普通本科,--,--,551.00,93653,490,平行录取二段
辽东学院,普通本科,--,--,--,--,--,--
赣南师范大学,普通本科,--,--,590.00,51042,588,平行录取一段
赣南师范大学,普通本科,--,--,560.00,83957,490,平行录取二段
长江师范学院,普通本科,563.00,559.00,558.00,86164,490,平行录取二段
广西科技师范学院,普通本科,--,--,--,--,--,--
井冈山大学,普通本科,--,--,558.00,86164,490,平行录取二段
重庆三峡学院,普通本科,572.00,560.73,551.00,93653,490,平行录取二段
鞍山师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
贵州工程应用技术学院,普通本科,557.00,555.50,553.00,91440,490,平行录取二段
渤海大学,普通本科,--,--,555.00,89385,490,平行录取二段
宁夏师范学院,普通本科,--,--,--,--,--,--
大连大学,普通本科,--,--,588.00,53141,588,平行录取一段
大连大学,普通本科,602.00,582.00,566.00,77285,490,平行录取二段
沈阳师范大学,普通本科,--,--,553.00,91440,490,平行录取二段
枣庄学院,普通本科,557.00,554.00,552.00,92541,490,平行录取二段
滁州学院,普通本科,--,--,561.00,82841,490,平行录取二段
沈阳大学,普通本科,--,--,568.00,75133,490,平行录取二段
海南热带海洋学院,普通本科,587.00,557.00,530.00,116093,490,平行录取二段
龙岩学院,普通本科,--,--,558.00,86164,490,平行录取二段
梧州学院,普通本科,559.00,--,547.00,98072,490,平行录取二段
百色学院,普通本科,--,--,--,--,--,--
丽水学院,普通本科,--,--,588.00,53141,588,平行录取一段
丽水学院,普通本科,--,--,490.00,156885,490,平行录取二段
丽水学院,普通本科,--,--,457.00,185025,344,平行录取三段
北部湾大学,普通本科,--,--,546.00,99147,490,平行录取二段
河北科技师范学院,普通本科,566.00,--,550.00,94794,490,平行录取二段
新疆师范大学,普通本科,566.00,554.00,543.00,102323,490,平行录取二段
喀什大学,普通本科,--,--,--,--,--,--
三明学院,普通本科,564.00,--,553.00,91440,490,平行录取二段
贺州学院,普通本科,--,--,--,--,--,--
安康学院,普通本科,--,--,--,--,--,--
菏泽学院,普通本科,--,--,--,--,--,--
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
铜仁学院,普通本科,--,--,--,--,--,--
宁波大学,普通本科,--,--,595.00,45903,588,平行录取一段
嘉兴学院,普通本科,--,--,588.00,53141,588,平行录取一段
嘉兴学院,普通本科,--,--,498.00,149176,490,平行录取二段
凯里学院,普通本科,--,--,--,--,--,--
兰州城市学院,普通本科,--,553.70,547.00,98072,490,平行录取二段
浙江海洋大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江海洋大学,普通本科,--,--,562.00,81741,490,平行录取二段
杭州师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
杭州师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
湖州师范学院,普通本科,--,--,588.00,53141,588,平行录取一段
湖州师范学院,普通本科,--,--,512.00,135071,490,平行录取二段
湖州师范学院,普通本科,--,--,569.00,73990,344,平行录取三段
台州学院,普通本科,--,--,588.00,53141,588,平行录取一段
台州学院,普通本科,--,--,555.00,89385,490,平行录取二段
绍兴文理学院,普通本科,--,--,588.00,53141,588,平行录取一段
绍兴文理学院,普通本科,--,--,538.00,107751,490,平行录取二段
温州大学,普通本科,--,--,588.00,53141,588,平行录取一段
温州大学,普通本科,--,--,568.00,75133,490,平行录取二段
云南师范大学商学院,独立学院,--,--,508.00,139184,490,平行录取二段
