学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
安庆师范大学,普通本科,--,--,559.00,85053,490,平行录取二段
贵州师范大学,普通本科,--,--,--,--,--,--
北京师范大学珠海分校,独立学院,576.00,567.40,564.00,79493,588,平行录取一段
北京师范大学珠海分校,独立学院,--,--,564.00,79493,490,平行录取二段
内蒙古师范大学,普通本科,--,--,--,--,--,--
兴义民族师范学院,普通本科,--,--,--,--,--,--
连云港师范高等专科学校,专科（高职）,--,--,--,--,--,--
黔南民族师范学院,普通本科,558.00,556.50,555.00,89385,490,平行录取二段
海南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
海南师范大学,普通本科,595.00,580.00,570.00,72877,490,平行录取二段
遵义师范学院,普通本科,--,--,--,--,--,--
伊犁师范大学,普通本科,--,--,--,--,--,--
广东技术师范大学天河学院,独立学院,--,--,--,--,--,--
贵州师范大学求是学院,独立学院,--,--,443.00,195043,490,平行录取二段
集宁师范学院,普通本科,--,--,--,--,--,--
和田师范专科学校,专科（高职）,--,--,--,--,--,--
徐州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
广西师范大学,普通本科,592.00,575.00,563.00,80624,588,平行录取一段
广西师范大学,普通本科,--,--,563.00,80624,490,平行录取二段
广西师范大学,普通本科,--,--,563.00,80624,344,平行录取三段
玉林师范学院,普通本科,--,--,546.00,99147,490,平行录取二段
南宁师范大学,普通本科,--,--,549.00,95883,490,平行录取二段
贵州师范学院,普通本科,--,--,--,--,--,--
内蒙古师范大学鸿德学院,独立学院,--,--,--,--,--,--
哈尔滨师范大学,普通本科,594.00,587.00,583.00,58692,588,平行录取一段
哈尔滨师范大学,普通本科,--,--,583.00,58692,490,平行录取二段
湖南幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
淮阴师范学院,普通本科,--,--,556.00,88305,490,平行录取二段
合肥幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
浙江第二师范学院,普通本科,--,--,--,--,--,--
齐鲁师范学院,普通本科,--,--,--,--,--,--
淄博师范高等专科学校,专科（高职）,--,--,--,--,--,--
广东第二师范学院,普通本科,--,--,--,--,--,--
北京师范大学,普通本科,--,--,656.00,4911,588,平行录取一段
保定幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
内蒙古科技大学包头师范学院,普通本科,--,547.00,--,0,490,平行录取二段
湖南师范大学,普通本科,645.00,--,619.00,24442,588,平行录取一段
绵阳师范学院,普通本科,575.00,566.50,560.00,83957,490,平行录取二段
内江师范学院,普通本科,562.00,--,550.00,94794,490,平行录取二段
乐山师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
六盘水师范学院,普通本科,--,--,--,--,--,--
曲靖师范学院,普通本科,--,--,548.00,96962,490,平行录取二段
天水师范学院,普通本科,558.00,552.00,545.00,100206,490,平行录取二段
首都师范大学,普通本科,--,--,620.00,23678,588,平行录取一段
江苏第二师范学院,普通本科,--,--,--,--,--,--
天津师范大学,普通本科,618.00,--,590.00,51042,588,平行录取一段
天津师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
河北师范大学,普通本科,604.00,--,588.00,53141,588,平行录取一段
河北师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
阳泉师范高等专科学校,专科（高职）,--,--,--,--,--,--
东北师范大学人文学院,独立学院,547.00,--,504.00,143172,490,平行录取二段
北京联合大学师范学院,普通本科,--,--,--,--,--,--
晋中师范高等专科学校,专科（高职）,--,--,--,--,--,--
辽宁特殊教育师范高等专科学校,专科（高职）,--,--,--,--,--,--
天津职业技术师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
华南师范大学,普通本科,--,--,628.00,17973,588,平行录取一段
运城幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
桐城师范高等专科学校,专科（高职）,--,--,--,--,--,--
山东师范大学,普通本科,618.00,596.00,588.00,53141,588,平行录取一段
山东师范大学,普通本科,--,--,582.00,59826,490,平行录取二段
唐山师范学院,普通本科,--,--,--,--,--,--
廊坊师范学院,普通本科,572.00,--,550.00,94794,490,平行录取二段
南京师范大学,普通本科,--,--,635.00,13683,588,平行录取一段
南京特殊教育师范学院,普通本科,--,--,558.00,86164,490,平行录取二段
丽江师范高等专科学校,专科（高职）,--,--,--,--,--,--
滇西科技师范学院,普通本科,--,--,--,--,--,--
德宏师范高等专科学校,专科（高职）,--,--,--,--,--,--
郑州师范学院,普通本科,--,--,--,--,--,--
华东师范大学,普通本科,--,--,651.00,6504,588,平行录取一段
川南幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
云南师范大学文理学院,独立学院,547.00,521.72,507.00,140230,490,平行录取二段
朝阳师范高等专科学校,专科（高职）,--,--,--,--,--,--
抚顺师范高等专科学校,专科（高职）,--,--,--,--,--,--
锦州师范高等专科学校,专科（高职）,--,--,--,--,--,--
铁岭师范高等专科学校,专科（高职）,--,--,--,--,--,--
沧州师范学院,普通本科,--,--,--,--,--,--
东北师范大学,普通本科,647.00,--,589.00,52072,588,平行录取一段
齐齐哈尔高等师范专科学校,专科（高职）,--,--,--,--,--,--
黑龙江幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
内蒙古民族幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
盐城师范学院,普通本科,571.00,--,568.00,75133,490,平行录取二段
贵阳幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
辽宁民族师范高等专科学校,专科（高职）,--,--,--,--,--,--
铜仁幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
南通师范高等专科学校,专科（高职）,--,--,--,--,--,--
湛江幼儿师范专科学校,专科（高职）,--,--,--,--,--,--
江苏师范大学,普通本科,618.00,--,565.00,78326,588,平行录取一段
江苏师范大学,普通本科,579.00,--,568.00,75133,490,平行录取二段
广东茂名幼儿师范专科学校,专科（高职）,--,--,--,--,--,--
陇南师范高等专科学校,专科（高职）,--,--,--,--,--,--
定西师范高等专科学校,专科（高职）,--,--,--,--,--,--
江西师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
江西师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段
河北民族师范学院,普通本科,--,--,--,--,--,--
江西师范高等专科学校,专科（高职）,--,--,490.00,156885,490,平行录取二段
江西师范高等专科学校,专科（高职）,--,--,487.00,159662,344,平行录取三段
阜阳幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
上饶师范学院,普通本科,596.00,--,560.00,83957,490,平行录取二段
赣南师范大学,普通本科,--,--,590.00,51042,588,平行录取一段
赣南师范大学,普通本科,--,--,560.00,83957,490,平行录取二段
江西科技师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
江西科技师范大学,普通本科,--,--,556.00,88305,490,平行录取二段
长江师范学院,普通本科,563.00,559.00,558.00,86164,490,平行录取二段
上海师范大学天华学院,独立学院,--,--,517.00,129871,490,平行录取二段
广西科技师范学院,普通本科,--,--,--,--,--,--
桂林师范高等专科学校,专科（高职）,--,--,--,--,--,--
鹤岗师范高等专科学校,专科（高职）,488.00,--,447.00,192243,344,平行录取三段
鞍山师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
运城师范高等专科学校,专科（高职）,--,--,--,--,--,--
朔州师范高等专科学校,专科（高职）,--,--,--,--,--,--
闽江师范高等专科学校,专科（高职）,--,--,--,--,--,--
吕梁学院汾阳师范分校,专科（高职）,--,--,--,--,--,--
宁夏师范学院,普通本科,--,--,--,--,--,--
沈阳师范大学,普通本科,--,--,553.00,91440,490,平行录取二段
太原幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
辽宁师范大学,普通本科,--,--,571.00,71762,490,平行录取二段
湘中幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
黔南民族幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
河北科技师范学院,普通本科,566.00,--,550.00,94794,490,平行录取二段
新疆师范大学,普通本科,566.00,554.00,543.00,102323,490,平行录取二段
毕节幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
六盘水幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
北京师范大学-香港浸会大学联合国际学院,中外合作办学,607.00,597.00,590.00,51042,588,平行录取一段
杭州师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
杭州师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
湖州师范学院,普通本科,--,--,588.00,53141,588,平行录取一段
湖州师范学院,普通本科,--,--,512.00,135071,490,平行录取二段
湖州师范学院,普通本科,--,--,569.00,73990,344,平行录取三段
天津师范大学津沽学院,独立学院,--,--,--,--,--,--
陕西学前师范学院,普通本科,--,--,--,--,--,--
云南师范大学商学院,独立学院,--,--,508.00,139184,490,平行录取二段
云南师范大学商学院,独立学院,--,--,550.00,94794,344,平行录取三段
吉林师范大学博达学院,独立学院,--,--,498.00,149176,490,平行录取二段
首都师范大学继续教育学院,其他,--,--,--,--,--,--
长春师范高等专科学校,专科（高职）,--,--,--,--,--,--
宜春幼儿师范高等专科学校,专科（高职）,--,--,490.00,156885,490,平行录取二段
宜春幼儿师范高等专科学校,专科（高职）,--,--,459.00,183500,344,平行录取三段
唐山幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
