学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
安庆师范大学,普通本科,--,--,559.00,85053,490,平行录取二段
贵州师范大学,普通本科,--,--,--,--,--,--
贵州民族大学,普通本科,--,--,--,--,--,--
内蒙古师范大学,普通本科,--,--,--,--,--,--
伊犁师范大学,普通本科,--,--,--,--,--,--
赤峰学院,普通本科,--,--,--,--,--,--
广西师范大学,普通本科,592.00,575.00,563.00,80624,588,平行录取一段
广西师范大学,普通本科,--,--,563.00,80624,490,平行录取二段
广西师范大学,普通本科,--,--,563.00,80624,344,平行录取三段
昆明学院,普通本科,--,--,--,--,--,--
河南师范大学新联学院,独立学院,--,--,--,--,--,--
黑河学院,普通本科,--,--,--,--,--,--
玉林师范学院,普通本科,--,--,546.00,99147,490,平行录取二段
南宁师范大学,普通本科,--,--,549.00,95883,490,平行录取二段
宁夏大学,普通本科,--,--,588.00,53141,588,平行录取一段
山东体育学院,普通本科,--,--,--,--,--,--
哈尔滨师范大学,普通本科,594.00,587.00,583.00,58692,588,平行录取一段
哈尔滨师范大学,普通本科,--,--,583.00,58692,490,平行录取二段
潍坊学院,普通本科,575.00,--,551.00,93653,490,平行录取二段
北京师范大学,普通本科,--,--,656.00,4911,588,平行录取一段
河北大学,普通本科,612.00,594.00,588.00,53141,588,平行录取一段
河北大学,普通本科,--,--,584.00,57599,490,平行录取二段
内蒙古科技大学包头师范学院,普通本科,--,547.00,--,0,490,平行录取二段
湖南师范大学,普通本科,645.00,--,619.00,24442,588,平行录取一段
乐山师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
曲靖师范学院,普通本科,--,--,548.00,96962,490,平行录取二段
新疆大学,普通本科,588.00,554.00,520.00,126743,588,平行录取一段
新疆大学,普通本科,582.00,538.00,495.00,152160,490,平行录取二段
首都师范大学,普通本科,--,--,620.00,23678,588,平行录取一段
江苏第二师范学院,普通本科,--,--,--,--,--,--
天津师范大学,普通本科,618.00,--,590.00,51042,588,平行录取一段
天津师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
江南大学,普通本科,646.00,634.00,627.00,18652,588,平行录取一段
天津外国语大学,普通本科,607.00,--,589.00,52072,588,平行录取一段
燕山大学,普通本科,624.00,--,598.00,42923,588,平行录取一段
天津职业技术师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
天津体育学院,普通本科,--,--,555.00,89385,490,平行录取二段
青岛恒星科技学院,普通本科,--,--,344.00,234340,344,平行录取三段
石家庄铁道大学,普通本科,605.00,--,588.00,53141,588,平行录取一段
石家庄铁道大学,普通本科,--,--,578.00,64173,490,平行录取二段
广西大学,普通本科,--,--,607.00,34501,588,平行录取一段
兰州大学,普通本科,641.00,633.83,629.00,17343,588,平行录取一段
华南师范大学,普通本科,--,--,628.00,17973,588,平行录取一段
南京大学,普通本科,--,--,667.00,2369,588,平行录取一段
唐山师范学院,普通本科,--,--,--,--,--,--
廊坊师范学院,普通本科,572.00,--,550.00,94794,490,平行录取二段
浙江大学,普通本科,--,--,658.00,4345,588,平行录取一段
南京师范大学,普通本科,--,--,635.00,13683,588,平行录取一段
石家庄学院,普通本科,--,--,--,--,--,--
南京特殊教育师范学院,普通本科,--,--,558.00,86164,490,平行录取二段
华中科技大学,普通本科,--,--,646.00,8376,588,平行录取一段
武汉理工大学,普通本科,640.00,634.65,624.00,20669,588,平行录取一段
延边大学,普通本科,627.00,--,603.00,38124,588,平行录取一段
华东师范大学,普通本科,--,--,651.00,6504,588,平行录取一段
上海外国语大学,普通本科,--,--,652.00,6165,588,平行录取一段
保定学院,普通本科,--,--,--,--,--,--
东北师范大学,普通本科,647.00,--,589.00,52072,588,平行录取一段
杭州电子科技大学,普通本科,--,--,608.00,33571,588,平行录取一段
南京邮电大学,普通本科,636.00,627.50,620.00,23678,588,平行录取一段
江苏师范大学,普通本科,618.00,--,565.00,78326,588,平行录取一段
江苏师范大学,普通本科,579.00,--,568.00,75133,490,平行录取二段
江苏大学,普通本科,604.00,--,571.00,71762,588,平行录取一段
江西农业大学,普通本科,--,--,588.00,53141,588,平行录取一段
江西农业大学,普通本科,--,--,560.00,83957,490,平行录取二段
扬州大学,普通本科,616.00,--,595.00,45903,588,平行录取一段
江西师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
江西师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
南昌航空大学,普通本科,601.00,581.00,568.00,75133,588,平行录取一段
南昌航空大学,普通本科,--,--,568.00,75133,490,平行录取二段
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段
上饶师范学院,普通本科,596.00,--,560.00,83957,490,平行录取二段
赣南师范大学,普通本科,--,--,590.00,51042,588,平行录取一段
赣南师范大学,普通本科,--,--,560.00,83957,490,平行录取二段
九江学院,普通本科,--,--,490.00,156885,490,平行录取二段
九江学院,普通本科,--,--,483.00,163370,344,平行录取三段
石河子大学,普通本科,614.00,596.00,588.00,53141,588,平行录取一段
石河子大学,普通本科,--,--,579.00,63129,490,平行录取二段
沈阳体育学院,普通本科,--,--,--,--,--,--
鞍山师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
渤海大学,普通本科,--,--,555.00,89385,490,平行录取二段
宁夏师范学院,普通本科,--,--,--,--,--,--
呼伦贝尔学院,普通本科,--,549.00,549.00,95883,490,平行录取二段
沈阳师范大学,普通本科,--,--,553.00,91440,490,平行录取二段
辽宁师范大学,普通本科,--,--,571.00,71762,490,平行录取二段
长治学院,普通本科,--,--,--,--,--,--
河北科技师范学院,普通本科,566.00,--,550.00,94794,490,平行录取二段
新疆师范大学,普通本科,566.00,554.00,543.00,102323,490,平行录取二段
喀什大学,普通本科,--,--,--,--,--,--
昌吉学院,普通本科,--,--,--,--,--,--
宁波大学,普通本科,--,--,595.00,45903,588,平行录取一段
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
铜仁学院,普通本科,--,--,--,--,--,--
兰州城市学院,普通本科,--,553.70,547.00,98072,490,平行录取二段
浙江海洋大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江海洋大学,普通本科,--,--,562.00,81741,490,平行录取二段
杭州师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
杭州师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
湖州师范学院,普通本科,--,--,588.00,53141,588,平行录取一段
湖州师范学院,普通本科,--,--,512.00,135071,490,平行录取二段
湖州师范学院,普通本科,--,--,569.00,73990,344,平行录取三段
首都师范大学继续教育学院,其他,--,--,--,--,--,--
温州大学,普通本科,--,--,588.00,53141,588,平行录取一段
温州大学,普通本科,--,--,568.00,75133,490,平行录取二段
四川师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
四川师范大学,普通本科,--,--,576.00,66295,490,平行录取二段
西华师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
西华师范大学,普通本科,--,--,573.00,69596,490,平行录取二段
山西师范大学,普通本科,--,--,589.00,52072,588,平行录取一段
山西师范大学,普通本科,--,--,557.00,87261,490,平行录取二段
中北大学,普通本科,591.00,587.00,583.00,58692,588,平行录取一段
中北大学,普通本科,--,--,577.00,65245,490,平行录取二段
山西师范大学现代文理学院,独立学院,--,--,--,--,--,--
山西大同大学,普通本科,--,--,552.00,92541,490,平行录取二段
深圳大学,普通本科,645.00,638.00,630.00,16683,588,平行录取一段
广东石油化工学院,普通本科,--,--,551.00,93653,490,平行录取二段
广州大学,普通本科,--,--,--,--,--,--
韩山师范学院,普通本科,--,--,--,--,--,--
岭南师范学院,普通本科,--,--,--,--,--,--
嘉应学院,普通本科,--,--,--,--,--,--
佛山科学技术学院,普通本科,--,--,--,--,--,--
上海师范大学,普通本科,632.00,605.00,588.00,53141,588,平行录取一段
上海师范大学,普通本科,--,--,586.00,55339,490,平行录取二段
河南师范大学,普通本科,--,--,597.00,43871,588,平行录取一段
河南师范大学,普通本科,601.00,--,553.00,91440,490,平行录取二段
淮北师范大学,普通本科,584.00,--,564.00,79493,588,平行录取一段
淮北师范大学,普通本科,--,--,564.00,79493,490,平行录取二段
湖北第二师范学院,普通本科,580.00,572.00,563.00,80624,490,平行录取二段
陕西师范大学,普通本科,635.00,634.50,627.00,18652,588,平行录取一段
延安大学,普通本科,--,--,588.00,53141,588,平行录取一段
延安大学,普通本科,588.00,568.00,553.00,91440,490,平行录取二段
云南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
云南师范大学,普通本科,605.00,--,562.00,81741,490,平行录取二段
云南民族大学,普通本科,--,--,555.00,89385,490,平行录取二段
玉溪师范学院,普通本科,565.00,--,546.00,99147,490,平行录取二段
楚雄师范学院,普通本科,--,--,544.00,101293,490,平行录取二段
红河学院,普通本科,561.00,549.81,545.00,100206,490,平行录取二段
红河学院,普通本科,--,--,561.00,82841,344,平行录取三段
安徽师范大学皖江学院,独立学院,--,--,534.00,111905,490,平行录取二段
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段
信阳师范学院,普通本科,553.00,--,552.00,92541,490,平行录取二段
西藏大学,普通本科,--,--,--,--,--,--
安阳师范学院,普通本科,606.00,561.00,553.00,91440,588,平行录取一段
安阳师范学院,普通本科,--,--,553.00,91440,490,平行录取二段
咸阳师范学院,普通本科,563.00,556.50,550.00,94794,490,平行录取二段
