学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
安庆师范大学,普通本科,--,--,559.00,85053,490,平行录取二段
河北师范大学汇华学院,独立学院,--,--,--,--,--,--
华东师范大学,普通本科,--,--,651.00,6504,588,平行录取一段
四川师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
四川师范大学,普通本科,--,--,576.00,66295,490,平行录取二段
保定学院,普通本科,--,--,--,--,--,--
广西师范大学,普通本科,592.00,575.00,563.00,80624,588,平行录取一段
广西师范大学,普通本科,--,--,563.00,80624,490,平行录取二段
广西师范大学,普通本科,--,--,563.00,80624,344,平行录取三段
昆明学院,普通本科,--,--,--,--,--,--
南宁师范大学,普通本科,--,--,549.00,95883,490,平行录取二段
四川文理学院,普通本科,--,--,--,--,--,--
贵州师范学院,普通本科,--,--,--,--,--,--
山东体育学院,普通本科,--,--,--,--,--,--
华中师范大学,普通本科,653.00,644.17,638.00,12067,588,平行录取一段
西南大学,普通本科,--,--,614.00,28475,588,平行录取一段
绥化学院,普通本科,--,--,--,--,--,--
潍坊学院,普通本科,575.00,--,551.00,93653,490,平行录取二段
广州大学,普通本科,--,--,--,--,--,--
岭南师范学院,普通本科,--,--,--,--,--,--
江西师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
江西师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
广东第二师范学院,普通本科,--,--,--,--,--,--
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段
北京师范大学,普通本科,--,--,656.00,4911,588,平行录取一段
湖北师范大学,普通本科,602.00,595.00,588.00,53141,588,平行录取一段
湖北师范大学,普通本科,--,--,569.00,73990,490,平行录取二段
成都大学,普通本科,586.00,569.00,560.00,83957,490,平行录取二段
乐山师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
北京联合大学,普通本科,--,--,588.00,53141,588,平行录取一段
北京联合大学,普通本科,--,--,577.00,65245,490,平行录取二段
滨州医学院,普通本科,--,--,588.00,53141,588,平行录取一段
滨州医学院,普通本科,--,--,570.00,72877,490,平行录取二段
济南大学,普通本科,--,--,588.00,53141,588,平行录取一段
济南大学,普通本科,--,--,584.00,57599,490,平行录取二段
淮北师范大学,普通本科,584.00,--,564.00,79493,588,平行录取一段
淮北师范大学,普通本科,--,--,564.00,79493,490,平行录取二段
陕西师范大学,普通本科,635.00,634.50,627.00,18652,588,平行录取一段
北京语言大学,普通本科,--,--,629.00,17343,588,平行录取一段
贵州工程应用技术学院,普通本科,557.00,555.50,553.00,91440,490,平行录取二段
云南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
云南师范大学,普通本科,605.00,--,562.00,81741,490,平行录取二段
泉州师范学院,普通本科,--,--,535.00,110842,490,平行录取二段
天津体育学院,普通本科,--,--,555.00,89385,490,平行录取二段
辽宁师范大学,普通本科,--,--,571.00,71762,490,平行录取二段
华南师范大学,普通本科,--,--,628.00,17973,588,平行录取一段
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段
普洱学院,普通本科,--,--,--,--,--,--
唐山师范学院,普通本科,--,--,--,--,--,--
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
菏泽学院,普通本科,--,--,--,--,--,--
铜仁学院,普通本科,--,--,--,--,--,--
安顺学院,普通本科,--,--,--,--,--,--
邯郸学院,普通本科,--,--,551.00,93653,490,平行录取二段
邯郸学院,普通本科,--,--,562.00,81741,344,平行录取三段
南京特殊教育师范学院,普通本科,--,--,558.00,86164,490,平行录取二段
滇西科技师范学院,普通本科,--,--,--,--,--,--
长春大学,普通本科,--,--,588.00,53141,588,平行录取一段
长春大学,普通本科,--,--,490.00,156885,490,平行录取二段
长春大学,普通本科,--,--,466.00,177960,344,平行录取三段
西安体育学院,普通本科,--,--,554.00,90427,490,平行录取二段
郑州师范学院,普通本科,--,--,--,--,--,--
杭州师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
杭州师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
海南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
海南师范大学,普通本科,595.00,580.00,570.00,72877,490,平行录取二段
