学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
长春师范大学,普通本科,--,--,550.00,94794,490,平行录取二段
绍兴文理学院,普通本科,--,--,588.00,53141,588,平行录取一段
绍兴文理学院,普通本科,--,--,538.00,107751,490,平行录取二段
四川师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
四川师范大学,普通本科,--,--,576.00,66295,490,平行录取二段
保定学院,普通本科,--,--,--,--,--,--
西华师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
西华师范大学,普通本科,--,--,573.00,69596,490,平行录取二段
遵义师范学院,普通本科,--,--,--,--,--,--
呼和浩特民族学院,普通本科,--,--,--,--,--,--
广西师范大学,普通本科,592.00,575.00,563.00,80624,588,平行录取一段
广西师范大学,普通本科,--,--,563.00,80624,490,平行录取二段
广西师范大学,普通本科,--,--,563.00,80624,344,平行录取三段
忻州师范学院,普通本科,--,--,--,--,--,--
太原师范学院,普通本科,576.00,564.00,552.00,92541,490,平行录取二段
湖南第一师范学院,普通本科,581.00,569.00,558.00,86164,490,平行录取二段
怀化学院,普通本科,--,--,550.00,94794,490,平行录取二段
华中师范大学,普通本科,653.00,644.17,638.00,12067,588,平行录取一段
哈尔滨师范大学,普通本科,594.00,587.00,583.00,58692,588,平行录取一段
哈尔滨师范大学,普通本科,--,--,583.00,58692,490,平行录取二段
香港教育大学,普通本科,--,--,--,--,--,--
岭南师范学院,普通本科,--,--,--,--,--,--
贵阳学院,普通本科,--,--,--,--,--,--
河北民族师范学院,普通本科,--,--,--,--,--,--
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段
上海师范大学,普通本科,632.00,605.00,588.00,53141,588,平行录取一段
上海师范大学,普通本科,--,--,586.00,55339,490,平行录取二段
黄冈师范学院,普通本科,--,--,--,--,--,--
牡丹江师范学院,普通本科,543.00,--,542.00,103416,490,平行录取二段
赣南师范大学,普通本科,--,--,590.00,51042,588,平行录取一段
赣南师范大学,普通本科,--,--,560.00,83957,490,平行录取二段
乐山师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
陇东学院,普通本科,--,--,--,--,--,--
石河子大学,普通本科,614.00,596.00,588.00,53141,588,平行录取一段
石河子大学,普通本科,--,--,579.00,63129,490,平行录取二段
长沙师范学院,普通本科,--,--,--,--,--,--
南昌师范学院,普通本科,--,--,--,--,--,--
新疆大学,普通本科,588.00,554.00,520.00,126743,588,平行录取一段
新疆大学,普通本科,582.00,538.00,495.00,152160,490,平行录取二段
湖北第二师范学院,普通本科,580.00,572.00,563.00,80624,490,平行录取二段
湖北文理学院,普通本科,--,--,549.00,95883,490,平行录取二段
江苏第二师范学院,普通本科,--,--,--,--,--,--
浙江外国语学院,普通本科,--,--,588.00,53141,588,平行录取一段
浙江外国语学院,普通本科,--,--,501.00,146165,490,平行录取二段
河北师范大学,普通本科,604.00,--,588.00,53141,588,平行录取一段
河北师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
渤海大学,普通本科,--,--,555.00,89385,490,平行录取二段
宁夏师范学院,普通本科,--,--,--,--,--,--
闽南师范大学,普通本科,--,--,591.00,49957,588,平行录取一段
闽南师范大学,普通本科,592.00,578.00,570.00,72877,490,平行录取二段
楚雄师范学院,普通本科,--,--,544.00,101293,490,平行录取二段
华南师范大学,普通本科,--,--,628.00,17973,588,平行录取一段
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段
河北科技师范学院,普通本科,566.00,--,550.00,94794,490,平行录取二段
许昌学院,普通本科,564.00,--,547.00,98072,588,平行录取一段
许昌学院,普通本科,--,--,547.00,98072,490,平行录取二段
临沂大学,普通本科,--,--,556.00,88305,490,平行录取二段
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
渭南师范学院,普通本科,559.00,550.00,541.00,104530,490,平行录取二段
宁波大学,普通本科,--,--,595.00,45903,588,平行录取一段
琼台师范学院,普通本科,567.00,--,558.00,86164,490,平行录取二段
琼台师范学院,普通本科,549.00,--,491.00,155917,344,平行录取三段
郑州师范学院,普通本科,--,--,--,--,--,--
杭州师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
杭州师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
湖州师范学院,普通本科,--,--,588.00,53141,588,平行录取一段
湖州师范学院,普通本科,--,--,512.00,135071,490,平行录取二段
湖州师范学院,普通本科,--,--,569.00,73990,344,平行录取三段
台州学院,普通本科,--,--,588.00,53141,588,平行录取一段
台州学院,普通本科,--,--,555.00,89385,490,平行录取二段
阜阳师范学院,普通本科,--,--,559.00,85053,490,平行录取二段
