学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
华东师范大学,普通本科,--,--,651.00,6504,588,平行录取一段
云南师范大学文理学院,独立学院,547.00,521.72,507.00,140230,490,平行录取二段
北京师范大学珠海分校,独立学院,576.00,567.40,564.00,79493,588,平行录取一段
北京师范大学珠海分校,独立学院,--,--,564.00,79493,490,平行录取二段
云南经济管理学院,普通本科,512.00,504.50,499.00,148205,490,平行录取二段
云南经济管理学院,普通本科,--,--,370.00,228181,344,平行录取三段
河北美术学院,普通本科,--,--,--,--,--,--
忻州师范学院,普通本科,--,--,--,--,--,--
贵州师范学院,普通本科,--,--,--,--,--,--
华中师范大学,普通本科,653.00,644.17,638.00,12067,588,平行录取一段
韶关学院,普通本科,579.00,576.20,559.00,85053,490,平行录取二段
广州美术学院,普通本科,--,--,601.00,40056,588,平行录取一段
广州美术学院,普通本科,--,--,587.00,54216,490,平行录取二段
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段
四川传媒学院,普通本科,--,--,--,--,--,--
广西科技师范学院,普通本科,--,--,--,--,--,--
宁德师范学院,普通本科,--,--,--,--,--,--
重庆第二师范学院,普通本科,--,--,--,--,--,--
河北农业大学,普通本科,--,--,--,--,--,--
云南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
云南师范大学,普通本科,605.00,--,562.00,81741,490,平行录取二段
保山学院,普通本科,--,--,--,--,--,--
泉州师范学院,普通本科,--,--,535.00,110842,490,平行录取二段
厦门大学,普通本科,670.00,658.33,619.00,24442,588,平行录取一段
厦门大学,普通本科,670.00,658.33,652.00,6165,490,平行录取二段
云南艺术学院,普通本科,--,--,--,--,--,--
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段
昭通学院,普通本科,--,--,--,--,--,--
铜仁学院,普通本科,--,--,--,--,--,--
凯里学院,普通本科,--,--,--,--,--,--
