学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次,开设专业
安庆师范大学,普通本科,--,--,559.00,85053,490,平行录取二段,师范 学前教育 特殊教育 教育技术学 小学教育
贵州师范大学,普通本科,--,--,--,--,--,--,师范 教育学 学前教育 教育技术学 小学教育
北京师范大学珠海分校,独立学院,576.00,567.40,564.00,79493,588,平行录取一段,师范 教育学 学前教育 艺术教育
北京师范大学珠海分校,独立学院,--,--,564.00,79493,490,平行录取二段,师范 教育学 学前教育 艺术教育
内蒙古师范大学,普通本科,--,--,--,--,--,--,师范 教育学 学前教育 教育技术学 小学教育
兴义民族师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 小学教育
连云港师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
黔南民族师范学院,普通本科,558.00,556.50,555.00,89385,490,平行录取二段,师范 教育学 学前教育 小学教育
海南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 教育学 学前教育 特殊教育 教育技术学 小学教育
海南师范大学,普通本科,595.00,580.00,570.00,72877,490,平行录取二段,师范 教育学 学前教育 特殊教育 教育技术学 小学教育
遵义师范学院,普通本科,--,--,--,--,--,--,师范 教育学 学前教育 科学教育 小学教育
伊犁师范大学,普通本科,--,--,--,--,--,--,师范 学前教育 教育技术学 小学教育
广东技术师范大学天河学院,独立学院,--,--,--,--,--,--,师范
贵州师范大学求是学院,独立学院,--,--,443.00,195043,490,平行录取二段,师范 学前教育
集宁师范学院,普通本科,--,--,--,--,--,--,师范 小学教育
和田师范专科学校,专科（高职）,--,--,--,--,--,--,师范
徐州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
广西师范大学,普通本科,592.00,575.00,563.00,80624,588,平行录取一段,师范 学前教育 科学教育 特殊教育 教育技术学 小学教育
广西师范大学,普通本科,--,--,563.00,80624,490,平行录取二段,师范 学前教育 科学教育 特殊教育 教育技术学 小学教育
广西师范大学,普通本科,--,--,563.00,80624,344,平行录取三段,师范 学前教育 科学教育 特殊教育 教育技术学 小学教育
玉林师范学院,普通本科,--,--,546.00,99147,490,平行录取二段,师范 学前教育 教育技术学 小学教育
南宁师范大学,普通本科,--,--,549.00,95883,490,平行录取二段,师范 教育学 学前教育 特殊教育 教育技术学 小学教育
贵州师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 艺术教育 特殊教育
内蒙古师范大学鸿德学院,独立学院,--,--,--,--,--,--,师范 学前教育
哈尔滨师范大学,普通本科,594.00,587.00,583.00,58692,588,平行录取一段,师范 教育学 学前教育 科学教育 教育技术学 小学教育
哈尔滨师范大学,普通本科,--,--,583.00,58692,490,平行录取二段,师范 教育学 学前教育 科学教育 教育技术学 小学教育
湖南幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
淮阴师范学院,普通本科,--,--,556.00,88305,490,平行录取二段,师范
合肥幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
浙江第二师范学院,普通本科,--,--,--,--,--,--,师范
齐鲁师范学院,普通本科,--,--,--,--,--,--,师范 小学教育
淄博师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
广东第二师范学院,普通本科,--,--,--,--,--,--,师范 特殊教育
北京师范大学,普通本科,--,--,656.00,4911,588,平行录取一段,师范 教育学 学前教育 特殊教育 教育技术学
保定幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
内蒙古科技大学包头师范学院,普通本科,--,547.00,--,0,490,平行录取二段,师范 教育技术学 小学教育
湖南师范大学,普通本科,645.00,--,619.00,24442,588,平行录取一段,师范 教育学 学前教育 教育技术学
绵阳师范学院,普通本科,575.00,566.50,560.00,83957,490,平行录取二段,师范 学前教育 小学教育
内江师范学院,普通本科,562.00,--,550.00,94794,490,平行录取二段,师范 教育学 学前教育 小学教育
乐山师范学院,普通本科,--,--,549.00,95883,490,平行录取二段,师范 教育学 学前教育 科学教育 特殊教育 教育技术学 小学教育
六盘水师范学院,普通本科,--,--,--,--,--,--,师范 小学教育
曲靖师范学院,普通本科,--,--,548.00,96962,490,平行录取二段,师范 学前教育 教育技术学 小学教育
天水师范学院,普通本科,558.00,552.00,545.00,100206,490,平行录取二段,师范 学前教育 小学教育
首都师范大学,普通本科,--,--,620.00,23678,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
江苏第二师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 科学教育 教育技术学 小学教育
天津师范大学,普通本科,618.00,--,590.00,51042,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
天津师范大学,普通本科,--,--,587.00,54216,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
河北师范大学,普通本科,604.00,--,588.00,53141,588,平行录取一段,师范 教育学 学前教育 科学教育 小学教育
河北师范大学,普通本科,--,--,579.00,63129,490,平行录取二段,师范 教育学 学前教育 科学教育 小学教育
阳泉师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
东北师范大学人文学院,独立学院,547.00,--,504.00,143172,490,平行录取二段,师范 学前教育
北京联合大学师范学院,普通本科,--,--,--,--,--,--,师范
晋中师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
辽宁特殊教育师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
天津职业技术师范大学,普通本科,--,--,554.00,90427,490,平行录取二段,师范 教育学 教育技术学
华南师范大学,普通本科,--,--,628.00,17973,588,平行录取一段,师范 教育学 学前教育 科学教育 特殊教育 教育技术学 小学教育
运城幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
桐城师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
山东师范大学,普通本科,618.00,596.00,588.00,53141,588,平行录取一段,师范 教育学 学前教育 小学教育
山东师范大学,普通本科,--,--,582.00,59826,490,平行录取二段,师范 教育学 学前教育 小学教育
唐山师范学院,普通本科,--,--,--,--,--,--,师范 教育学 学前教育 特殊教育 教育技术学 小学教育
廊坊师范学院,普通本科,572.00,--,550.00,94794,490,平行录取二段,师范 人文教育 教育学 学前教育 教育技术学 小学教育
南京师范大学,普通本科,--,--,635.00,13683,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
南京特殊教育师范学院,普通本科,--,--,558.00,86164,490,平行录取二段,师范 学前教育 教育康复学 特殊教育 教育技术学 小学教育
丽江师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
滇西科技师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 特殊教育 小学教育
德宏师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
郑州师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 科学教育 特殊教育 小学教育
华东师范大学,普通本科,--,--,651.00,6504,588,平行录取一段,师范 学前教育 艺术教育 教育康复学 特殊教育 教育技术学
川南幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
云南师范大学文理学院,独立学院,547.00,521.72,507.00,140230,490,平行录取二段,师范 艺术教育
朝阳师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
抚顺师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
锦州师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
铁岭师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范 学前教育
沧州师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 小学教育
东北师范大学,普通本科,647.00,--,589.00,52072,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
齐齐哈尔高等师范专科学校,专科（高职）,--,--,--,--,--,--,师范
黑龙江幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
内蒙古民族幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
盐城师范学院,普通本科,571.00,--,568.00,75133,490,平行录取二段,师范 学前教育 小学教育
贵阳幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
辽宁民族师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
铜仁幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
南通师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
湛江幼儿师范专科学校,专科（高职）,--,--,--,--,--,--,师范
